seed,dgp,model_key,model,obj_nll,obj_prob_mse,obj_prob_mae,mo_nll,mo_prob_mse,mo_prob_mae,decision_regret,learned_b_global,learned_b_obj0,scorer_noise_sigma0,learned_b_obj1,scorer_noise_sigma1,learned_b_obj2,scorer_noise_sigma2
0,objective_specific_noise,standard,Standard scalarized BT,0.663479992740449,0.023613742304057436,0.11118547668852258,0.6789139026529165,0.0177292078786586,0.10052332273464469,0.19494904653480669,-0.5912359356880188,0.005387600045651197,0.3,-1.1245300769805908,1.2,-0.43509653210639954,0.7
0,objective_specific_noise,shared_precision,Shared-precision BT,0.6389439290931316,0.01723239878467665,0.1033135527361207,0.6638475593156927,0.013161248633958903,0.08691238328650627,0.19494904653480669,-0.5912359356880188,0.005387600045651197,0.3,-1.1245300769805908,1.2,-0.43509653210639954,0.7
0,objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,,,,0.6739923227082434,0.016042688843615358,0.09470990189179876,0.18042474283019397,-0.5912359356880188,0.005387600045651197,0.3,-1.1245300769805908,1.2,-0.43509653210639954,0.7
0,objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,0.633934115326754,0.014893320349018859,0.09293215179162559,0.6584157176113394,0.011392367881368307,0.08064335068735068,0.18042474283019397,-0.5912359356880188,0.005387600045651197,0.3,-1.1245300769805908,1.2,-0.43509653210639954,0.7
0,objective_specific_noise,oracle,Oracle latent utility,,,,0.6332560413341736,0.0,0.0,0.0,-0.5912359356880188,0.005387600045651197,0.3,-1.1245300769805908,1.2,-0.43509653210639954,0.7
1,objective_specific_noise,standard,Standard scalarized BT,0.6647795080805664,0.02335959958013365,0.11113809089645355,0.6754069268779899,0.01779830940740547,0.1010956261205149,0.19801352431421612,-0.631060779094696,-0.013744310475885868,0.3,-1.149540662765503,1.2,-0.5207648277282715,0.7
1,objective_specific_noise,shared_precision,Shared-precision BT,0.6399691039035613,0.01702188457024131,0.10356639952351242,0.6608660668804996,0.013038505446524072,0.08699066015976081,0.19801352431421612,-0.631060779094696,-0.013744310475885868,0.3,-1.149540662765503,1.2,-0.5207648277282715,0.7
1,objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,,,,0.6705318893531712,0.015955197973744,0.09487907277348459,0.18414779848223228,-0.631060779094696,-0.013744310475885868,0.3,-1.149540662765503,1.2,-0.5207648277282715,0.7
1,objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,0.6326104160260865,0.01456980303029906,0.09246478067573541,0.6560315774981736,0.011138823447374997,0.08021497087962715,0.18414779848223228,-0.631060779094696,-0.013744310475885868,0.3,-1.149540662765503,1.2,-0.5207648277282715,0.7
1,objective_specific_noise,oracle,Oracle latent utility,,,,0.629828414451469,0.0,0.0,0.0,-0.631060779094696,-0.013744310475885868,0.3,-1.149540662765503,1.2,-0.5207648277282715,0.7
2,objective_specific_noise,standard,Standard scalarized BT,0.6733858325659344,0.02403987141058444,0.11205598646291208,0.678178931718031,0.018244297179394152,0.10176818253692697,0.19608802178341556,-0.5241169333457947,-0.13171616196632385,0.3,-0.9016540050506592,1.2,-0.38559970259666443,0.7
2,objective_specific_noise,shared_precision,Shared-precision BT,0.6448195646414875,0.017347600787220006,0.10203338626049895,0.664326198598123,0.013848857769952443,0.08856288505089685,0.19608802178341556,-0.5241169333457947,-0.13171616196632385,0.3,-0.9016540050506592,1.2,-0.38559970259666443,0.7
2,objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,,,,0.6744528342265741,0.016653743279072528,0.0964281816080446,0.18305013359173816,-0.5241169333457947,-0.13171616196632385,0.3,-0.9016540050506592,1.2,-0.38559970259666443,0.7
2,objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,0.6386063549785004,0.014819159458645825,0.09184805614378459,0.6600520534887314,0.01211298539060112,0.08264846062746999,0.18305013359173816,-0.5241169333457947,-0.13171616196632385,0.3,-0.9016540050506592,1.2,-0.38559970259666443,0.7
2,objective_specific_noise,oracle,Oracle latent utility,,,,0.632386353298648,0.0,0.0,0.0,-0.5241169333457947,-0.13171616196632385,0.3,-0.9016540050506592,1.2,-0.38559970259666443,0.7
